"Age","Year","M_minus_F","MF_ratio"
"65-74",2015,17464,1.81691458508747
"65-74",2016,17119,1.79857256145916
"65-74",2017,16579,1.76832885346186
"65-74",2018,16686,1.74368231046931
"65-74",2019,17426,1.71330331559558
"75+",1987,6260,1.42654674298174
"75+",1988,6843,1.47297484102848
"75+",1989,6927,1.47036056223263
"75+",1990,7211,1.48034905409006
"75+",1991,8804,1.58196721311475
"75+",1992,8481,1.5808904109589
"75+",1993,8836,1.60462570138224
"75+",1994,7868,1.50735104462213
"75+",1995,7909,1.50203123016377
"75+",1996,7970,1.51014529859822
"75+",1997,8621,1.54128209957933
"75+",1998,9328,1.56270736562707
"75+",1999,9288,1.55141296604132
"75+",2000,9057,1.54758162031439
"75+",2001,8866,1.53746362754607
"75+",2002,8558,1.52208394338702
"75+",2003,8564,1.52828326445006
"75+",2004,9205,1.56813973583508
"75+",2005,9384,1.58177309361438
"75+",2006,9326,1.55157321977762
"75+",2007,8779,1.51854695806261
"75+",2008,8966,1.52386795208881
"75+",2009,9615,1.54711505633322
"75+",2010,8936,1.52835097262461
"75+",2011,10289,1.61903615907587
"75+",2012,9654,1.58016826923077
"75+",2013,10961,1.6317943397314
"75+",2014,10962,1.63533093775356
"75+",2015,10242,1.56918972990997
"75+",2016,10045,1.55617075466475
"75+",2017,11002,1.59325963871664
"75+",2018,11207,1.58290856132321
"75+",2019,11525,1.58729107215654
