"Age","Year","Sex","Num_thousands","median_current","median_2019","diff_real","rate_real","norm_first","norm_last"
"35-44",1955,"Female",5462,1582,13236,58,0.0044012748520261,98.9755477454573,33.0891727706807
"35-44",1956,"Female",5727,1736,14302,1066,0.0805379268661227,106.946833171315,35.7541061473463
"35-44",1957,"Female",5885,1784,14230,-72,-0.00503426094252552,106.408434906154,35.5741106472338
"35-44",1958,"Female",5937,1817,14105,-125,-0.00878425860857344,105.473715695805,35.2616184595385
"35-44",1959,"Female",6082,1848,14228,123,0.0087203119461184,106.393479398789,35.5691107722307
"35-44",1960,"Female",6319,2034,15408,1180,0.0829350576328367,115.217228744485,38.5190370240744
"35-44",1961,"Female",6530,2123,15922,514,0.0333592938733126,119.060794137441,39.8040048998775
"35-44",1962,"Female",6655,2081,15454,-468,-0.0293932922999623,115.561205413894,38.6340341491463
"35-44",1963,"Female",6757,2145,15712,258,0.0166947068720072,117.490465864054,39.2790180245494
"35-44",1964,"Female",6966,2259,16325,613,0.0390147657841141,122.074328871607,40.8114797130072
"35-44",1965,"Female",6797,2484,17679,1354,0.0829402756508423,132.19920735811,44.1963950901227
"35-44",1966,"Female",6884,2590,17925,246,0.0139148141863228,134.038734764077,44.8113797155071
"35-44",1967,"Female",7247,2836,19033,1108,0.061813110181311,142.324085844612,47.5813104672383
"35-44",1968,"Female",7229,3044,19658,625,0.0328377029370042,146.997681896358,49.1437714057149
"35-44",1969,"Female",7359,3237,20012,354,0.0180079357004782,149.644806700067,50.028749281268
"35-44",1970,"Female",7293,3450,20327,315,0.0157405556666,152.000299110147,50.8162295942601
"35-44",1971,"Female",7302,3632,20501,174,0.00856004329217297,153.301428250953,51.251218719532
"35-44",1972,"Female",7425,3862,21165,664,0.0323886639676113,158.266656696328,52.9111772205695
"35-44",1973,"Female",7645,4110,21197,32,0.00151193007323411,158.505944814178,52.9911752206195
"35-44",1974,"Female",7878,4451,20869,-328,-0.0154738878143133,156.053241606221,52.171195720107
"35-44",1975,"Female",8188,4705,20385,-484,-0.0231922947913173,152.434008823749,50.9612259693508
"35-44",1976,"Female",8568,5158,21132,747,0.036644591611479,158.019890824796,52.8286792830179
"35-44",1977,"Female",8981,5538,21341,209,0.00989021389362105,159.5827413445,53.3511662208445
"35-44",1978,"Female",10243,5804,20931,-410,-0.0192118457429361,156.516862334555,52.3261918452039
"35-44",1979,"Female",11651,5887,19392,-1539,-0.0735273039988534,145.008599416735,48.4787880302992
"35-44",1980,"Female",11976,6465,19151,-241,-0.0124278052805281,143.206460779182,47.8763030924227
"35-44",1981,"Female",12650,7366,19937,786,0.0410422432248969,149.083975173858,49.8412539686508
"35-44",1982,"Female",13291,7851,20040,103,0.00516627376235141,149.854183803186,50.0987475313117
"35-44",1983,"Female",13990,8860,21689,1649,0.0822854291417166,162.184999626112,54.2211444713882
"35-44",1984,"Female",14636,9561,22470,781,0.0360090368389506,168.025125252374,56.1735956601085
"35-44",1985,"Female",15271,10275,23347,877,0.0390298175344904,174.583115232184,58.3660408489788
"35-44",1986,"Female",15919,11064,24707,1360,0.0582515954940678,184.752860240784,61.7659558511037
"35-44",1987,"Female",16465,11995,25895,1188,0.0480835390779941,193.636431615943,64.7358816029599
"35-44",1988,"Female",17044,12546,26140,245,0.00946128596254103,195.468481268227,65.3483662908427
"35-44",1989,"Female",17692,13805,27559,1419,0.0542846212700842,206.079413744111,68.8957776055599
"35-44",1990,"Female",18546,14504,27594,35,0.00127000254000508,206.341135123009,68.9832754181145
"35-44",1991,"Female",18872,15125,27765,171,0.00619699934768428,207.619831002767,69.4107647308817
"35-44",1992,"Female",19355,15417,27614,-151,-0.00543850171078696,206.490690196665,69.0332741681458
"35-44",1993,"Female",19667,15844,27681,67,0.00242630549721156,206.991699693412,69.2007699807505
"35-44",1994,"Female",20131,16189,27705,24,0.000867020700119215,207.171165781799,69.260768480788
"35-44",1995,"Female",20458,17397,29072,1367,0.0493412741382422,217.393255066178,72.6781830454239
"35-44",1996,"Female",20637,18447,30027,955,0.0328494771601541,224.534509833246,75.065623359416
"35-44",1997,"Female",20809,18706,29805,-222,-0.00739334598861025,222.874448515666,74.5106372340692
"35-44",1998,"Female",20970,20285,31889,2084,0.0699211541687636,238.458087190608,79.7205069873253
"35-44",1999,"Female",21055,20660,31801,-88,-0.00275957226629872,237.800044866522,79.5005124871878
"35-44",2000,"Female",20894,22077,32867,1066,0.0335209584604258,245.77133029238,82.1654458638534
"35-44",2001,"Female",20647,22471,32527,-340,-0.0103447226701555,243.22889404023,81.3154671133222
"35-44",2002,"Female",20487,22322,31810,-717,-0.0220432256279399,237.867344649667,79.5230119247019
"35-44",2003,"Female",20010,23472,32706,896,0.0281672430053442,244.56741194945,81.7629559261018
"35-44",2004,"Female",19738,24402,33108,402,0.0122913226930838,247.573468929933,82.76793080173
"35-44",2005,"Female",19552,25435,33378,270,0.0081551286698079,249.592462424288,83.4429139271518
"35-44",2006,"Female",19199,26368,33516,138,0.00413445982383606,250.624392432513,83.7879053023674
"35-44",2007,"Female",18824,27702,34241,725,0.0216314596013844,256.045763852539,85.6003599910002
"35-44",2008,"Female",18477,27371,32580,-1661,-0.0485090972810374,243.625214985418,81.447963800905
"35-44",2009,"Female",17913,27894,33319,739,0.02268262737876,249.151274957003,83.2954176145596
"35-44",2010,"Female",17755,29272,34397,1078,0.0323539121822384,257.212293427055,85.990350241244
"35-44",2011,"Female",17672,29095,33145,-1252,-0.0363985231270169,247.850145816197,82.8604284892878
"35-44",2012,"Female",17542,30061,33535,390,0.0117664806154774,250.766469752486,83.8354041148971
"35-44",2013,"Female",17996,30334,33345,-190,-0.0056657223796034,249.345696552756,83.3604159896003
"35-44",2014,"Female",17833,31070,33586,241,0.00722747038536512,251.147835190309,83.9629009274768
"35-44",2015,"Female",17921,31621,34122,536,0.0159590305484428,255.155911164286,85.3028674283143
"35-44",2016,"Female",17864,32975,35130,1008,0.0295410585545982,262.693486876542,87.8228044298893
"35-44",2017,"Female",18244,35216,36728,1598,0.0454881867349843,274.642937261647,91.8177045573861
"35-44",2018,"Female",18209,36946,37615,887,0.0241505118710521,281.275704778285,94.035149121272
